"gene_name"	"n_syn"	"n_mis"	"n_non"	"n_spl"	"n_ind"	"wmis_cv"	"wnon_cv"	"wspl_cv"	"wind_cv"	"pmis_cv"	"ptrunc_cv"	"pallsubs_cv"	"pind_cv"	"qmis_cv"	"qtrunc_cv"	"qallsubs_cv"	"qind_cv"	"pglobal_cv"	"qglobal_cv"
"TNXB"	0	0	0	0	0	0	0	0	0	0.697164234911761	0.935851712740314	0.924078493371247	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997042124616504	0.999999999886752
"DNAH1"	0	0	0	0	0	0	0	0	0	0.701263012479549	0.920973950101541	0.924500522783799	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997075350968804	0.999999999886752
"USH2A"	0	0	0	0	0	0	0	0	0	0.700898571874386	0.922790080582856	0.924533387880308	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997077930349369	0.999999999886752
"DNHD1"	0	0	0	0	0	0	0	0	0	0.69911926930218	0.934043731574446	0.924854069993515	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997103037419509	0.999999999886752
"DNAH2"	0	0	0	0	0	0	0	0	0	0.702488623645093	0.919618905033259	0.924927652851834	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997108782734969	0.999999999886752
"AHNAK"	0	0	0	0	0	0	0	0	0	0.69642432232139	0.952599744863895	0.925079220355339	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997120598608239	0.999999999886752
"DNAH9"	0	0	0	0	0	0	0	0	0	0.70633879213625	0.923711173401959	0.927218792397057	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997284747357594	0.999999999886752
"LAMA5"	0	0	0	0	0	0	0	0	0	0.707355017736056	0.923753924668634	0.927700393911693	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997321014871122	0.999999999886752
"ABCA13"	0	0	0	0	0	0	0	0	0	0.708218610340138	0.927712692897546	0.928535448552624	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997383307039429	0.999999999886752
"HUWE1"	0	0	0	0	0	0	0	0	0	0.708944628333814	0.927256995280812	0.928825667608387	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997404780480588	0.999999999886752
"FLG"	0	0	0	0	0	0	0	0	0	0.702738246359973	0.96481852158769	0.928864662909809	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997407658849441	0.999999999886752
"DNAH10"	0	0	0	0	0	0	0	0	0	0.71175023955244	0.919363882495999	0.929236694752861	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997435037415463	0.999999999886752
"FAT4"	0	0	0	0	0	0	0	0	0	0.707006682586242	0.945277523243356	0.929602497328968	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997461812329312	0.999999999886752
"HERC1"	0	0	0	0	0	0	0	0	0	0.711640881130581	0.923551914025951	0.929669651726355	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.99746671205432	0.999999999886752
"HECTD4"	0	0	0	0	0	0	0	0	0	0.711683898155762	0.926106528923441	0.929971635455095	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997488685469164	0.999999999886752
"FAT3"	0	0	0	0	0	0	0	0	0	0.709106856083633	0.938135577964296	0.929975288630981	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997488950686916	0.999999999886752
"LRP2"	0	0	0	0	0	0	0	0	0	0.712841931570959	0.9233434315025	0.930198861009762	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997505154558039	0.999999999886752
"STARD9"	0	0	0	0	0	0	0	0	0	0.709702076566033	0.93828530449907	0.930266026374997	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997510012009966	0.999999999886752
"FAT1"	0	0	0	0	0	0	0	0	0	0.710119306554089	0.940119407942114	0.930623583487294	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997535789206259	0.999999999886752
"FAT2"	0	0	0	0	0	0	0	0	0	0.709915283099071	0.942293842727937	0.930716333105866	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997542453318974	0.999999999886752
"DNAH5"	0	0	0	0	0	0	0	0	0	0.716383225221313	0.920957155043764	0.931540723925785	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997601280190557	0.999999999886752
"BIRC6"	0	0	0	0	0	0	0	0	0	0.715721487512399	0.93031103722264	0.932264575670633	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997652331244851	0.999999999886752
"MUC17"	0	0	0	0	0	0	0	0	0	0.710354532486537	0.968788944607698	0.932648382989681	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997679171967855	0.999999999886752
"KMT2C"	0	0	0	0	0	0	0	0	0	0.716515053294603	0.932400363947936	0.932836049907948	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997692238542276	0.999999999886752
"VPS13D"	0	0	0	0	0	0	0	0	0	0.719413460672812	0.924935730798262	0.933358188900455	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997728394580475	0.999999999886752
"BSN"	0	0	0	0	0	0	0	0	0	0.714994619986883	0.950972466949095	0.933737565333567	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997754481655971	0.999999999886752
"SPTBN5"	0	0	0	0	0	0	0	0	0	0.719954009988701	0.926894795757838	0.933814344014406	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997759742434981	0.999999999886752
"ZNF469"	0	0	0	0	0	0	0	0	0	0.713781450500298	0.961472588236863	0.933857585568762	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997762702513221	0.999999999886752
"DNAH11"	0	0	0	0	0	0	0	0	0	0.722043266466759	0.920095388281675	0.933977352252217	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997770890627028	0.999999999886752
"TRRAP"	0	0	0	0	0	0	0	0	0	0.720581188897262	0.926520170378584	0.934054133632946	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997776131876547	0.999999999886752
